Indicator,Country code,2022,Q1 2022,Q2 2022,Q3 2022,Q4 2022
Equity other than reinvestment of earnings,US,"133.166,00","74.189,00","20.243,00","11.150,00","27.584,00"
Reinvestment of earnings (direct investor in direct investment enterprises),US,"245.787,00","76.710,00","67.111,00","81.620,00","20.346,00"
Debt instruments,US,"9.557,00","7.923,00","15.364,00","-37.089,00","23.359,00"
Direct investor in direct investment enterprises,US,"1.863,00","5.055,00","16.361,00","-32.977,00","13.424,00"
Direct investment enterprises in direct investor (reverse investment),US,"7.694,00","2.868,00","-997,00","-4.112,00","9.935,00"
Net incurrence of liabilities,US,"408.982,00","136.418,00","75.735,00","127.878,00","68.951,00"
Equity and investment fund shares,US,"333.473,00","84.584,00","91.455,00","96.059,00","61.375,00"
Equity other than reinvestment of earnings,US,"118.206,00","26.053,00","28.520,00","41.423,00","22.210,00"
Reinvestment of earnings (direct investor in direct investment enterprises),US,"215.267,00","58.531,00","62.935,00","54.636,00","39.165,00"
Debt instruments,US,"75.509,00","51.834,00","-15.720,00","31.819,00","7.576,00"
Direct investor in direct investment enterprises,US,"27.081,00","4.554,00","903,00","24.052,00","-2.428,00"
Direct investment enterprises in direct investor (reverse investment),US,"48.428,00","47.280,00","-16.623,00","7.767,00","10.004,00"
Portfolio investment,US,"-437.666,00","-72.386,00","-147.474,00","8.786,00","-226.592,00"
Net acquisition of financial assets,US,"322.717,00","191.982,00","236.903,00","270.789,00","-376.957,00"
Equity and investment fund shares,US,"159.463,00","88.902,00","197.228,00","163.858,00","-290.525,00"
Central bank,US,"0,00","0,00","0,00","0,00","0,00"
"Deposit-taking corporations, except the central bank",US,"3.219,00","1.549,00","3.312,00","2.737,00","-4.379,00"
General government,US,"0,00","0,00","0,00","0,00","0,00"
Other sectors,US,"156.244,00","87.353,00","193.916,00","161.121,00","-286.146,00"
of which: other financial corporations,US,"135.441,00","75.354,00","166.978,00","138.176,00","-245.067,00"
Debt securities,US,"163.254,00","103.080,00","39.675,00","106.931,00","-86.432,00"
Central bank,US,"0,00","0,00","0,00","0,00","0,00"
"Deposit-taking corporations, except the central bank",US,"21.879,00","10.812,00","9.306,00","11.123,00","-9.362,00"
General government,US,"0,00","0,00","0,00","0,00","0,00"
Other sectors,US,"141.375,00","92.268,00","30.369,00","95.808,00","-77.070,00"
of which: other financial corporations,US,"110.969,00","70.731,00","21.766,00","85.962,00","-67.490,00"
